"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"Autauga County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","4,592","616","40,767","601","3,362"
"    Percent","","","","",""
"        Estimate","(X)","13.4%","(X)","1.5%","8.2%"
"    Male","","","","",""
"        Estimate","2,270","271","19,403","314","1,688"
"    Percent Male","","","","",""
"        Estimate","(X)","11.9%","(X)","1.6%","8.7%"
"    Female","","","","",""
"        Estimate","2,322","345","21,364","287","1,674"
"    Percent Female","","","","",""
"        Estimate","(X)","14.9%","(X)","1.3%","7.8%"
"Baldwin County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","16,829","2,507","171,988","3,540","10,681"
"    Percent","","","","",""
"        Estimate","(X)","14.9%","(X)","2.1%","6.2%"
"    Male","","","","",""
"        Estimate","8,524","1,385","82,352","2,191","6,142"
"    Percent Male","","","","",""
"        Estimate","(X)","16.2%","(X)","2.7%","7.5%"
"    Female","","","","",""
"        Estimate","8,305","1,122","89,636","1,349","4,539"
"    Percent Female","","","","",""
"        Estimate","(X)","13.5%","(X)","1.5%","5.1%"
"Barbour County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,948","188","17,628","1,222","2,689"
"    Percent","","","","",""
"        Estimate","(X)","9.7%","(X)","6.9%","15.3%"
"    Male","","","","",""
"        Estimate","1,154","169","9,288","865","1,625"
"    Percent Male","","","","",""
"        Estimate","(X)","14.6%","(X)","9.3%","17.5%"
"    Female","","","","",""
"        Estimate","794","19","8,340","357","1,064"
"    Percent Female","","","","",""
"        Estimate","(X)","2.4%","(X)","4.3%","12.8%"
"Bibb County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,763","238","15,931","1,036","2,096"
"    Percent","","","","",""
"        Estimate","(X)","13.5%","(X)","6.5%","13.2%"
"    Male","","","","",""
"        Estimate","1,083","193","8,399","571","1,459"
"    Percent Male","","","","",""
"        Estimate","(X)","17.8%","(X)","6.8%","17.4%"
"    Female","","","","",""
"        Estimate","680","45","7,532","465","637"
"    Percent Female","","","","",""
"        Estimate","(X)","6.6%","(X)","6.2%","8.5%"
"Blount County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","4,563","730","40,991","2,598","4,495"
"    Percent","","","","",""
"        Estimate","(X)","16.0%","(X)","6.3%","11.0%"
"    Male","","","","",""
"        Estimate","2,409","392","20,278","1,499","2,476"
"    Percent Male","","","","",""
"        Estimate","(X)","16.3%","(X)","7.4%","12.2%"
"    Female","","","","",""
"        Estimate","2,154","338","20,713","1,099","2,019"
"    Percent Female","","","","",""
"        Estimate","(X)","15.7%","(X)","5.3%","9.7%"
"Bullock County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","674","205","7,378","696","1,219"
"    Percent","","","","",""
"        Estimate","(X)","30.4%","(X)","9.4%","16.5%"
"    Male","","","","",""
"        Estimate","372","135","4,073","485","936"
"    Percent Male","","","","",""
"        Estimate","(X)","36.3%","(X)","11.9%","23.0%"
"    Female","","","","",""
"        Estimate","302","70","3,305","211","283"
"    Percent Female","","","","",""
"        Estimate","(X)","23.2%","(X)","6.4%","8.6%"
"Butler County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,424","166","13,164","587","1,046"
"    Percent","","","","",""
"        Estimate","(X)","11.7%","(X)","4.5%","7.9%"
"    Male","","","","",""
"        Estimate","758","80","5,879","278","561"
"    Percent Male","","","","",""
"        Estimate","(X)","10.6%","(X)","4.7%","9.5%"
"    Female","","","","",""
"        Estimate","666","86","7,285","309","485"
"    Percent Female","","","","",""
"        Estimate","(X)","12.9%","(X)","4.2%","6.7%"
"Calhoun County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","12,685","1,355","78,627","3,383","7,557"
"    Percent","","","","",""
"        Estimate","(X)","10.7%","(X)","4.3%","9.6%"
"    Male","","","","",""
"        Estimate","6,298","1,058","37,112","1,721","4,234"
"    Percent Male","","","","",""
"        Estimate","(X)","16.8%","(X)","4.6%","11.4%"
"    Female","","","","",""
"        Estimate","6,387","297","41,515","1,662","3,323"
"    Percent Female","","","","",""
"        Estimate","(X)","4.7%","(X)","4.0%","8.0%"
"Chambers County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","2,825","463","24,484","1,444","2,566"
"    Percent","","","","",""
"        Estimate","(X)","16.4%","(X)","5.9%","10.5%"
"    Male","","","","",""
"        Estimate","1,453","226","11,289","753","1,282"
"    Percent Male","","","","",""
"        Estimate","(X)","15.6%","(X)","6.7%","11.4%"
"    Female","","","","",""
"        Estimate","1,372","237","13,195","691","1,284"
"    Percent Female","","","","",""
"        Estimate","(X)","17.3%","(X)","5.2%","9.7%"
"Cherokee County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,700","214","18,777","996","2,033"
"    Percent","","","","",""
"        Estimate","(X)","12.6%","(X)","5.3%","10.8%"
"    Male","","","","",""
"        Estimate","851","136","9,233","473","1,143"
"    Percent Male","","","","",""
"        Estimate","(X)","16.0%","(X)","5.1%","12.4%"
"    Female","","","","",""
"        Estimate","849","78","9,544","523","890"
"    Percent Female","","","","",""
"        Estimate","(X)","9.2%","(X)","5.5%","9.3%"
"Chilton County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","3,787","535","30,747","1,753","3,109"
"    Percent","","","","",""
"        Estimate","(X)","14.1%","(X)","5.7%","10.1%"
"    Male","","","","",""
"        Estimate","2,005","215","14,851","1,081","1,705"
"    Percent Male","","","","",""
"        Estimate","(X)","10.7%","(X)","7.3%","11.5%"
"    Female","","","","",""
"        Estimate","1,782","320","15,896","672","1,404"
"    Percent Female","","","","",""
"        Estimate","(X)","18.0%","(X)","4.2%","8.8%"
"Choctaw County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,035","111","8,998","527","893"
"    Percent","","","","",""
"        Estimate","(X)","10.7%","(X)","5.9%","9.9%"
"    Male","","","","",""
"        Estimate","503","31","4,137","243","513"
"    Percent Male","","","","",""
"        Estimate","(X)","6.2%","(X)","5.9%","12.4%"
"    Female","","","","",""
"        Estimate","532","80","4,861","284","380"
"    Percent Female","","","","",""
"        Estimate","(X)","15.0%","(X)","5.8%","7.8%"
"Clarke County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,886","328","15,966","673","1,679"
"    Percent","","","","",""
"        Estimate","(X)","17.4%","(X)","4.2%","10.5%"
"    Male","","","","",""
"        Estimate","964","199","7,354","354","869"
"    Percent Male","","","","",""
"        Estimate","(X)","20.6%","(X)","4.8%","11.8%"
"    Female","","","","",""
"        Estimate","922","129","8,612","319","810"
"    Percent Female","","","","",""
"        Estimate","(X)","14.0%","(X)","3.7%","9.4%"
"Clay County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","997","247","10,259","579","1,190"
"    Percent","","","","",""
"        Estimate","(X)","24.8%","(X)","5.6%","11.6%"
"    Male","","","","",""
"        Estimate","590","93","4,880","279","615"
"    Percent Male","","","","",""
"        Estimate","(X)","15.8%","(X)","5.7%","12.6%"
"    Female","","","","",""
"        Estimate","407","154","5,379","300","575"
"    Percent Female","","","","",""
"        Estimate","(X)","37.8%","(X)","5.6%","10.7%"
"Cleburne County, Alabama","","","","",""
"    Total","","","","",""
"        Estimate","1,066","199","10,861","470","1,116"
"    Percent","","","","",""
"        Estimate","(X)","18.7%","(X)","4.3%","10.3%"
"    Male","","","","",""
