"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Autauga County, Alabama",""
"    Number",""
"        Estimate","22,523"
"        Margin of Error","±431"
"    Percent Distribution",""
"        Estimate","22,523"
"        Margin of Error","±431"
"    Median income (dollars)",""
"        Estimate","69,841"
"        Margin of Error","±5,512"
"Baldwin County, Alabama",""
"    Number",""
"        Estimate","94,642"
"        Margin of Error","±1,316"
"    Percent Distribution",""
"        Estimate","94,642"
"        Margin of Error","±1,316"
"    Median income (dollars)",""
"        Estimate","75,019"
"        Margin of Error","±2,751"
"Barbour County, Alabama",""
"    Number",""
"        Estimate","9,080"
"        Margin of Error","±315"
"    Percent Distribution",""
"        Estimate","9,080"
"        Margin of Error","±315"
"    Median income (dollars)",""
"        Estimate","44,290"
"        Margin of Error","±2,762"
"Bibb County, Alabama",""
"    Number",""
"        Estimate","7,571"
"        Margin of Error","±288"
"    Percent Distribution",""
"        Estimate","7,571"
"        Margin of Error","±288"
"    Median income (dollars)",""
"        Estimate","51,215"
"        Margin of Error","±6,678"
"Blount County, Alabama",""
"    Number",""
"        Estimate","21,977"
"        Margin of Error","±403"
"    Percent Distribution",""
"        Estimate","21,977"
"        Margin of Error","±403"
"    Median income (dollars)",""
"        Estimate","61,096"
"        Margin of Error","±3,328"
"Bullock County, Alabama",""
"    Number",""
"        Estimate","3,453"
"        Margin of Error","±245"
"    Percent Distribution",""
"        Estimate","3,453"
"        Margin of Error","±245"
"    Median income (dollars)",""
"        Estimate","36,723"
"        Margin of Error","±6,836"
"Butler County, Alabama",""
"    Number",""
"        Estimate","7,262"
"        Margin of Error","±313"
"    Percent Distribution",""
"        Estimate","7,262"
"        Margin of Error","±313"
"    Median income (dollars)",""
"        Estimate","44,881"
"        Margin of Error","±4,130"
"Calhoun County, Alabama",""
"    Number",""
"        Estimate","45,125"
"        Margin of Error","±708"
"    Percent Distribution",""
"        Estimate","45,125"
"        Margin of Error","±708"
"    Median income (dollars)",""
"        Estimate","55,826"
"        Margin of Error","±2,168"
"Chambers County, Alabama",""
"    Number",""
"        Estimate","13,419"
"        Margin of Error","±476"
"    Percent Distribution",""
"        Estimate","13,419"
"        Margin of Error","±476"
"    Median income (dollars)",""
"        Estimate","49,295"
"        Margin of Error","±5,005"
"Cherokee County, Alabama",""
"    Number",""
"        Estimate","10,477"
"        Margin of Error","±416"
"    Percent Distribution",""
"        Estimate","10,477"
"        Margin of Error","±416"
"    Median income (dollars)",""
"        Estimate","50,769"
"        Margin of Error","±4,891"
"Chilton County, Alabama",""
"    Number",""
"        Estimate","17,554"
"        Margin of Error","±415"
"    Percent Distribution",""
"        Estimate","17,554"
"        Margin of Error","±415"
"    Median income (dollars)",""
"        Estimate","61,873"
"        Margin of Error","±2,954"
"Choctaw County, Alabama",""
"    Number",""
"        Estimate","5,174"
"        Margin of Error","±261"
"    Percent Distribution",""
"        Estimate","5,174"
"        Margin of Error","±261"
"    Median income (dollars)",""
"        Estimate","44,483"
"        Margin of Error","±4,856"
"Clarke County, Alabama",""
"    Number",""
"        Estimate","8,452"
"        Margin of Error","±367"
"    Percent Distribution",""
"        Estimate","8,452"
"        Margin of Error","±367"
"    Median income (dollars)",""
"        Estimate","49,167"
"        Margin of Error","±4,873"
"Clay County, Alabama",""
"    Number",""
"        Estimate","5,765"
"        Margin of Error","±262"
"    Percent Distribution",""
"        Estimate","5,765"
"        Margin of Error","±262"
"    Median income (dollars)",""
"        Estimate","51,852"
"        Margin of Error","±3,549"
"Cleburne County, Alabama",""
"    Number",""
"        Estimate","5,849"
"        Margin of Error","±215"
"    Percent Distribution",""
"        Estimate","5,849"
"        Margin of Error","±215"
"    Median income (dollars)",""
"        Estimate","53,319"
"        Margin of Error","±4,481"
"Coffee County, Alabama",""
"    Number",""
"        Estimate","20,860"
"        Margin of Error","±435"
"    Percent Distribution",""
"        Estimate","20,860"
"        Margin of Error","±435"
"    Median income (dollars)",""
"        Estimate","64,672"
"        Margin of Error","±3,538"
"Colbert County, Alabama",""
"    Number",""
"        Estimate","24,217"
"        Margin of Error","±489"
"    Percent Distribution",""
"        Estimate","24,217"
"        Margin of Error","±489"
"    Median income (dollars)",""
"        Estimate","56,736"
"        Margin of Error","±4,001"
"Conecuh County, Alabama",""
"    Number",""
"        Estimate","4,528"
"        Margin of Error","±265"
"    Percent Distribution",""
"        Estimate","4,528"
"        Margin of Error","±265"
"    Median income (dollars)",""
"        Estimate","42,266"
"        Margin of Error","±4,545"
"Coosa County, Alabama",""
"    Number",""
"        Estimate","4,201"
"        Margin of Error","±203"
"    Percent Distribution",""
"        Estimate","4,201"
"        Margin of Error","±203"
"    Median income (dollars)",""
"        Estimate","57,063"
"        Margin of Error","±5,500"
"Covington County, Alabama",""
"    Number",""
"        Estimate","14,495"
"        Margin of Error","±307"
"    Percent Distribution",""
