"Label (Grouping)","Population 16 years and over"
"Autauga County, Alabama",""
"    Total",""
"        Estimate","47,508"
"        Margin of Error","±227"
"    Labor Force Participation Rate",""
"        Estimate","59.0%"
"        Margin of Error","±1.9"
"    Employment/Population Ratio",""
"        Estimate","55.5%"
"        Margin of Error","±2.0"
"    Unemployment rate",""
"        Estimate","2.5%"
"        Margin of Error","±0.9"
"Baldwin County, Alabama",""
"    Total",""
"        Estimate","195,048"
"        Margin of Error","±457"
"    Labor Force Participation Rate",""
"        Estimate","58.3%"
"        Margin of Error","±1.0"
"    Employment/Population Ratio",""
"        Estimate","56.2%"
"        Margin of Error","±1.0"
"    Unemployment rate",""
"        Estimate","3.2%"
"        Margin of Error","±0.5"
"Barbour County, Alabama",""
"    Total",""
"        Estimate","20,253"
"        Margin of Error","±94"
"    Labor Force Participation Rate",""
"        Estimate","44.9%"
"        Margin of Error","±2.1"
"    Employment/Population Ratio",""
"        Estimate","42.2%"
"        Margin of Error","±2.2"
"    Unemployment rate",""
"        Estimate","5.7%"
"        Margin of Error","±2.1"
"Bibb County, Alabama",""
"    Total",""
"        Estimate","18,176"
"        Margin of Error","±95"
"    Labor Force Participation Rate",""
"        Estimate","51.6%"
"        Margin of Error","±2.7"
"    Employment/Population Ratio",""
"        Estimate","46.4%"
"        Margin of Error","±2.8"
"    Unemployment rate",""
"        Estimate","10.0%"
"        Margin of Error","±2.8"
"Blount County, Alabama",""
"    Total",""
"        Estimate","47,389"
"        Margin of Error","±152"
"    Labor Force Participation Rate",""
"        Estimate","57.4%"
"        Margin of Error","±1.5"
"    Employment/Population Ratio",""
"        Estimate","54.0%"
"        Margin of Error","±1.6"
"    Unemployment rate",""
"        Estimate","5.8%"
"        Margin of Error","±1.3"
"Bullock County, Alabama",""
"    Total",""
"        Estimate","8,254"
"        Margin of Error","±108"
"    Labor Force Participation Rate",""
"        Estimate","46.6%"
"        Margin of Error","±5.0"
"    Employment/Population Ratio",""
"        Estimate","43.9%"
"        Margin of Error","±5.1"
"    Unemployment rate",""
"        Estimate","5.9%"
"        Margin of Error","±4.3"
"Butler County, Alabama",""
"    Total",""
"        Estimate","15,120"
"        Margin of Error","±103"
"    Labor Force Participation Rate",""
"        Estimate","53.1%"
"        Margin of Error","±2.4"
"    Employment/Population Ratio",""
"        Estimate","49.5%"
"        Margin of Error","±2.7"
"    Unemployment rate",""
"        Estimate","6.8%"
"        Margin of Error","±2.9"
"Calhoun County, Alabama",""
"    Total",""
"        Estimate","94,387"
"        Margin of Error","±242"
"    Labor Force Participation Rate",""
"        Estimate","55.8%"
"        Margin of Error","±1.1"
"    Employment/Population Ratio",""
"        Estimate","51.8%"
"        Margin of Error","±1.0"
"    Unemployment rate",""
"        Estimate","6.4%"
"        Margin of Error","±1.2"
"Chambers County, Alabama",""
"    Total",""
"        Estimate","27,797"
"        Margin of Error","±130"
"    Labor Force Participation Rate",""
"        Estimate","55.2%"
"        Margin of Error","±2.1"
"    Employment/Population Ratio",""
"        Estimate","52.3%"
"        Margin of Error","±2.0"
"    Unemployment rate",""
"        Estimate","5.0%"
"        Margin of Error","±1.8"
"Cherokee County, Alabama",""
"    Total",""
"        Estimate","21,189"
"        Margin of Error","±100"
"    Labor Force Participation Rate",""
"        Estimate","50.8%"
"        Margin of Error","±2.3"
"    Employment/Population Ratio",""
"        Estimate","49.0%"
"        Margin of Error","±2.4"
"    Unemployment rate",""
"        Estimate","3.4%"
"        Margin of Error","±1.2"
"Chilton County, Alabama",""
"    Total",""
"        Estimate","35,476"
"        Margin of Error","±250"
"    Labor Force Participation Rate",""
"        Estimate","56.2%"
"        Margin of Error","±2.2"
"    Employment/Population Ratio",""
"        Estimate","53.2%"
"        Margin of Error","±2.1"
"    Unemployment rate",""
"        Estimate","5.4%"
"        Margin of Error","±1.4"
"Choctaw County, Alabama",""
"    Total",""
"        Estimate","10,376"
"        Margin of Error","±70"
"    Labor Force Participation Rate",""
"        Estimate","46.4%"
"        Margin of Error","±2.8"
"    Employment/Population Ratio",""
"        Estimate","43.9%"
"        Margin of Error","±2.8"
"    Unemployment rate",""
"        Estimate","5.5%"
"        Margin of Error","±1.9"
"Clarke County, Alabama",""
"    Total",""
"        Estimate","18,497"
"        Margin of Error","±115"
"    Labor Force Participation Rate",""
"        Estimate","50.1%"
"        Margin of Error","±2.5"
"    Employment/Population Ratio",""
"        Estimate","43.5%"
"        Margin of Error","±2.6"
"    Unemployment rate",""
"        Estimate","13.2%"
"        Margin of Error","±3.1"
"Clay County, Alabama",""
"    Total",""
"        Estimate","11,542"
"        Margin of Error","±101"
"    Labor Force Participation Rate",""
"        Estimate","49.4%"
"        Margin of Error","±2.6"
"    Employment/Population Ratio",""
"        Estimate","47.3%"
"        Margin of Error","±2.6"
"    Unemployment rate",""
"        Estimate","3.5%"
"        Margin of Error","±1.9"
"Cleburne County, Alabama",""
"    Total",""
"        Estimate","12,384"
"        Margin of Error","±91"
"    Labor Force Participation Rate",""
"        Estimate","49.2%"
"        Margin of Error","±3.1"
"    Employment/Population Ratio",""
"        Estimate","47.8%"
"        Margin of Error","±3.1"
"    Unemployment rate",""
"        Estimate","1.5%"
"        Margin of Error","±1.1"
"Coffee County, Alabama",""
"    Total",""
"        Estimate","42,821"
"        Margin of Error","±118"
"    Labor Force Participation Rate",""
"        Estimate","57.2%"
"        Margin of Error","±1.4"
"    Employment/Population Ratio",""
"        Estimate","51.3%"
"        Margin of Error","±1.5"
"    Unemployment rate",""
"        Estimate","4.3%"
"        Margin of Error","±1.1"
"Colbert County, Alabama",""
"    Total",""
"        Estimate","46,791"
"        Margin of Error","±174"
"    Labor Force Participation Rate",""
"        Estimate","57.6%"
"        Margin of Error","±1.4"
"    Employment/Population Ratio",""
"        Estimate","55.7%"
"        Margin of Error","±1.6"
"    Unemployment rate",""
"        Estimate","3.3%"
"        Margin of Error","±1.1"
"Conecuh County, Alabama",""
"    Total",""
"        Estimate","9,391"
"        Margin of Error","±83"
"    Labor Force Participation Rate",""
"        Estimate","40.7%"
"        Margin of Error","±3.4"
"    Employment/Population Ratio",""
"        Estimate","37.3%"
"        Margin of Error","±2.9"
"    Unemployment rate",""
"        Estimate","8.3%"
"        Margin of Error","±3.4"
"Coosa County, Alabama",""
"    Total",""
"        Estimate","8,752"
"        Margin of Error","±92"
"    Labor Force Participation Rate",""
"        Estimate","47.3%"
"        Margin of Error","±3.3"
"    Employment/Population Ratio",""
"        Estimate","44.6%"
"        Margin of Error","±2.9"
"    Unemployment rate",""
"        Estimate","5.1%"
"        Margin of Error","±3.9"
"Covington County, Alabama",""
"    Total",""
"        Estimate","30,235"
"        Margin of Error","±99"
"    Labor Force Participation Rate",""
"        Estimate","52.5%"
"        Margin of Error","±1.7"
"    Employment/Population Ratio",""
"        Estimate","50.0%"
"        Margin of Error","±1.7"
"    Unemployment rate",""
"        Estimate","4.6%"
"        Margin of Error","±1.3"
"Crenshaw County, Alabama",""
"    Total",""
"        Estimate","10,520"
"        Margin of Error","±121"
"    Labor Force Participation Rate",""
"        Estimate","52.1%"
"        Margin of Error","±2.4"
"    Employment/Population Ratio",""
"        Estimate","49.2%"
"        Margin of Error","±2.6"
"    Unemployment rate",""
"        Estimate","4.9%"
"        Margin of Error","±2.1"
"Cullman County, Alabama",""
"    Total",""
"        Estimate","71,682"
"        Margin of Error","±170"
"    Labor Force Participation Rate",""
"        Estimate","58.1%"
"        Margin of Error","±1.3"
"    Employment/Population Ratio",""
"        Estimate","55.7%"
"        Margin of Error","±1.3"
"    Unemployment rate",""
"        Estimate","4.2%"
"        Margin of Error","±0.8"
"Dale County, Alabama",""
"    Total",""
"        Estimate","39,224"
"        Margin of Error","±124"
"    Labor Force Participation Rate",""
